Date,Open,High,Low,Close,Volume
2016-06-06 16:18,7.365000,7.37,7.36,7.360000,752482
2016-06-06 16:19,7.360000,7.3648,7.36,7.364800,803082
2016-06-06 16:20,7.364800,7.37,7.3601,7.370000,805582
2016-06-06 16:21,7.363500,7.37,7.3635,7.365000,806535
2016-06-06 16:22,7.370000,7.37,7.3635,7.363500,806635
2016-06-06 16:23,7.363500,7.37,7.3635,7.363500,813624
2016-06-06 16:24,7.363500,7.3635,7.36,7.360000,813624
2016-06-06 16:25,7.360000,7.37,7.36,7.365000,814524
2016-06-06 16:26,7.370000,7.37,7.36,7.370000,815892
2016-06-06 16:27,7.370000,7.37,7.37,7.370000,828018
2016-06-06 16:28,7.370000,7.375,7.37,7.370000,828273
2016-06-06 16:29,7.375000,7.38,7.37,7.373500,829188
2016-06-06 16:30,7.373500,7.38,7.37,7.370000,855753
2016-06-06 16:31,7.370000,7.38,7.37,7.370000,881938
2016-06-06 16:32,7.370000,7.3797,7.37,7.370000,887038
2016-06-06 16:33,7.370000,7.379,7.37,7.379000,887038
2016-06-06 16:34,7.371000,7.38,7.371,7.371500,888188
2016-06-06 16:35,7.372000,7.372,7.3715,7.371500,893313
2016-06-06 16:36,7.371500,7.38,7.3715,7.380000,894568
2016-06-06 16:37,7.380000,7.38,7.377,7.380000,894768
2016-06-06 16:38,7.380000,7.3806,7.377,7.380000,897268
2016-06-06 16:39,7.380000,7.3806,7.38,7.380600,897268
2016-06-06 16:40,7.380600,7.385,7.3806,7.385000,918105
2016-06-06 16:41,7.385000,7.39,7.385,7.390000,919405
2016-06-06 16:42,7.390000,7.39,7.39,7.390000,919805
2016-06-06 16:43,7.390000,7.39,7.39,7.390000,920580
2016-06-06 16:44,7.390000,7.395,7.39,7.390000,923930
2016-06-06 16:45,7.390000,7.395,7.39,7.395000,924472
2016-06-06 16:46,7.390000,7.395,7.39,7.395000,940182
2016-06-06 16:47,7.395000,7.4,7.39,7.400000,942572
2016-06-06 16:48,7.395000,7.4,7.39,7.392500,945872
2016-06-06 16:49,7.392500,7.3925,7.38,7.380000,970173
2016-06-06 16:50,7.380000,7.38,7.38,7.380000,974342
2016-06-06 16:51,7.380000,7.39,7.38,7.387600,974342
2016-06-06 16:52,7.390000,7.4,7.39,7.390000,983347
2016-06-06 16:53,7.390000,7.4,7.3855,7.390000,989482
2016-06-06 16:54,7.390000,7.39,7.385,7.385000,995316
2016-06-06 16:55,7.385500,7.39,7.385,7.390000,1002336
2016-06-06 16:56,7.390000,7.3962,7.3899,7.396200,1003036
2016-06-06 16:57,7.396200,7.3962,7.3962,7.396200,1009698
2016-06-06 16:58,7.396200,7.3962,7.3962,7.396200,1009698
2016-06-06 16:59,7.396200,7.3962,7.385,7.396200,1009698
